"連江縣","3214675","557360","66182","連江縣","286406","150388","54384","754472","642798","0","111674","連江縣","1269345","190110","14770","524040","540425","249279","1750","連江縣","12335","96889","0","138305","102374","55341","47033","連江縣","38343","38343","0","156522","156522","1000","1000","連江縣","0","32000","32000","0","0","53980","15000","38980",,,,,,,,,,,,
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,,,,,,,,,,,,,
"總  計","840291730","97309703","7305100","總  計","11668129","68582506","9753968","318745859","302538302","15340","16192217","總  計","40784856","11421736","4341389","17328862","7692869","155211558","33388493","總  計","19326390","84315365","1093135","17088175","37835425","2995196","34840229","總  計","79756018","79753988","2030","82890790","82890790","13249957","13229126","總  計","20831","638276","390954","247322","0","13869288","4376403","9492885",,,,,,,,,,,,
"","583429889","65907907","4226334","","6250903","49363617","6067053","223401260","210708196","0","12693064","","30319640","6840885","3093661","15781471","4603623","116492502","31436730","","15343280","58208743","713374","10790375","32974406","2755998","30218408","","42563530","42563530","0","54514938","54514938","8715285","8694454","","20831","0","0","0","0","8540421","2134166","6406255",,,,,,,,,,,,
"","149220342","12164653","788692","","1700180","8204681","1471100","56528328","51344103","0","5184225","","10643365","2227872","1265609","6147522","1002362","37657706","18173668","","8283541","6326418","380116","4493963","8514832","1200070","7314762","","5414043","5414043","0","12845415","12845415","3302967","3290051","","12916","0","0","0","0","2149033","712500","1436533"
"","119582340","16954658","639985","","1287222","13895097","1132354","40867771","38900786","0","1966985","","5422530","1407837","508841","2618567","887285","20651606","1548400","","1725041","15806814","114760","1456591","9963541","416312","9547229","","12227103","12227103","0","10377391","10377391","880700","880700","","0","0","0","0","0","2237040","380000","1857040"
"臺中市","87902436","11176529","755630","臺中市","1228819","8180976","1011104","32158591","30862168","0","1296423","臺中市","5175165","909471","601174","2867529","796991","13467420","680180","臺中市","1099873","10594492","22511","1070364","4648604","390048","4258556","臺中市","9249900","9249900","0","9848838","9848838","770000","770000","臺中市","0","0","0","0","0","1407389","275000","1132389"
"臺南市","64279485","8815826","612001","臺南市","616605","6886829","700391","26391949","25046115","0","1345834","臺南市","3581310","1031762","437719","1336010","775819","9651206","630390","臺南市","1012352","6813849","96149","1098466","2836991","147546","2689445","臺南市","4655941","4655941","0","6204185","6204185","1221437","1221437","臺南市","0","0","0","0","0","920640","400000","520640"
"","108209746","11309804","807186","","825406","8588421","1088791","42351535","40448195","0","1903340","","4010904","623448","0","2553398","834058","27063814","9152906","","2720475","13341730","99838","1748865","5213360","396161","4817199","","5549725","5549725","0","9579294","9579294","2160991","2153076","","7915","0","0","0","0","970319","166666","803653"
"桃園縣","54235540","5486437","622840","桃園縣","592671","3607613","663313","25103086","24106829","0","996257","桃園縣","1486366","640495","280318","258445","307108","8000750","1251186","桃園縣","501998","5325440","0","922126","1797078","205861","1591217","桃園縣","5466818","5466818","0","5659815","5659815","379190","379190","桃園縣","0","0","0","0","0","856000","200000","656000"
"","256861841","31401796","3078766","","5417226","19218889","3686915","95344599","91830106","15340","3499153","","10465216","4580851","1247728","1547391","3089246","38719056","1951763","","3983110","26106622","379761","6297800","4861019","239198","4621821","","37192488","37190458","2030","28375852","28375852","4534672","4534672","","0","638276","390954","247322","0","5328867","2242237","3086630"
"宜蘭縣","15814109","1603170","173695","宜蘭縣","265591","947698","216186","6278260","5858570","0","419690","宜蘭縣","717814","308093","173515","69597","166609","2116883","113938","宜蘭縣","249888","1407671","39264","306122","503325","68971","434354","宜蘭縣","2121001","2121001","0","1757554","1757554","293703","293703","宜蘭縣","0","13700","13700","0","0","408699","135000","273699"
"新竹縣","18712543","2112777","196379","新竹縣","318346","1353305","244747","7590689","7356850","0","233839","新竹縣","490716","223786","52063","98358","116509","3048618","199626","新竹縣","208319","2269676","37837","333160","272284","0","272284","新竹縣","2435783","2435783","0","1632645","1632645","564544","564544","新竹縣","0","0","0","0","0","564487","492237","72250"
"苗栗縣","19430821","2561284","199138","苗栗縣","445162","1641286","275698","7815431","7375042","0","440389","苗栗縣","445463","290951","25919","52749","75844","2636027","88448","苗栗縣","296078","1621873","13157","616471","129277","8376","120901","苗栗縣","2856383","2856383","0","2094706","2094706","550000","550000","苗栗縣","0","53250","0","53250","0","289000","200000","89000"
"彰化縣","33750762","3057733","256159","彰化縣","377497","1992163","431914","14714843","14407335","0","307508","彰化縣","942463","477103","29772","107784","327804","4788758","272674","彰化縣","370613","3545257","47745","552469","218423","23664","194759","彰化縣","4818000","4818000","0","3924786","3924786","532294","532294","彰化縣","0","61162","61162","0","0","692300","100000","592300"
"南投縣","18090425","2153785","247429","南投縣","340854","1304296","261206","6847214","6748480","0","98734","南投縣","627289","224101","107089","9338","286761","2556687","122279","南投縣","200883","1844082","5288","384155","150648","14432","136216","南投縣","2829500","2829500","0","2159195","2159195","359128","359128","南投縣","0","46500","46500","0","0","360479","113000","247479"
"雲林縣","22444430","2142535","238579","雲林縣","315557","1297709","290690","8639324","8355543","0","283781","雲林縣","870229","682776","73166","27641","86646","4009372","184741","雲林縣","512488","2881636","0","430507","112342","7228","105114","雲林縣","3242903","3242903","0","2295693","2295693","655629","655629","雲林縣","0","76500","76500","0","0","399903","0","399903"
"嘉義縣","18868307","2037069","209168","嘉義縣","376122","1215753","236026","6635678","6510788","0","124890","嘉義縣","568462","273470","15725","50566","228701","3180982","134882","嘉義縣","151958","2420396","10064","463682","94631","0","94631","嘉義縣","3497263","3497263","0","1990220","1990220","488000","488000","嘉義縣","0","126002","21752","104250","0","250000","0","250000"
"屏東縣","26425595","3057641","292978","屏東縣","395347","2032476","336840","10166567","9912465","0","254102","屏東縣","668554","299659","106059","111840","150996","3998945","147491","屏東縣","570138","2240364","34522","1006430","313458","6922","306536","屏東縣","4684750","4684750","0","2873090","2873090","300000","300000","屏東縣","0","100590","100590","0","0","262000","30000","232000"
"臺東縣","12320685","1981719","185927","臺東縣","569209","1051159","175424","3799758","3667892","0","131866","臺東縣","643137","373353","53889","44916","170979","1979836","58417","臺東縣","481130","967358","4205","468726","159914","1770","158144","臺東縣","1908856","1908856","0","1557892","1557892","100000","100000","臺東縣","0","1000","1000","0","0","188573","0","188573"
"花蓮縣","14132178","1935049","193372","花蓮縣","293536","1186913","261228","5203491","5071375","0","132116","花蓮縣","611866","289470","37982","61960","222454","2002713","94866","花蓮縣","226732","1320656","8899","351560","244204","13315","230889","花蓮縣","1988240","1988240","0","1776851","1776851","187764","187764","花蓮縣","0","0","0","0","0","182000","50000","132000"
"澎湖縣","6951265","962521","143462","澎湖縣","178415","510450","130194","1879827","1716475","15340","148012","澎湖縣","535316","188830","81686","0","264800","1147083","72250","澎湖縣","180344","609833","5398","279258","185182","8066","177116","澎湖縣","831248","831248","0","1175858","1175858","33770","33770","澎湖縣","0","69750","69750","0","0","130710","47000","83710"
"基隆市","14067576","2140935","192934","基隆市","313354","1343307","291340","4461097","4328316","0","132781","基隆市","502381","90542","39949","211958","159932","2158132","302356","基隆市","221756","1337171","11786","285063","783388","18903","764485","基隆市","1928372","1928372","0","1742531","1742531","196240","196240","基隆市","0","0","0","0","0","154500","20000","134500"
"新竹市","15244130","1792656","179383","新竹市","285401","1086863","241009","4998298","4756666","0","241632","新竹市","522061","47131","118548","115834","240548","2102650","68350","新竹市","151050","1660398","58615","164237","888849","36559","852290","新竹市","2076838","2076838","0","1457142","1457142","230000","230000","新竹市","0","0","0","0","0","1175636","1010000","165636"
"嘉義市","9936347","1507779","166463","嘉義市","232987","891697","216632","3407936","3218989","0","188947","嘉義市","318311","25784","39817","108786","143924","1257300","56552","嘉義市","89624","973464","10045","127615","510532","12445","498087","嘉義市","1456300","1456300","0","1240789","1240789","42600","42600","嘉義市","0","0","0","0","0","194800","10000","184800"
"金門縣","8690211","1885125","139138","金門縣","463982","1234518","47487","2317998","2040871","0","277127","金門縣","1574204","675632","277779","230739","390054","1500036","33143","金門縣","59774","911078","92936","403105","237899","0","237899","金門縣","478708","476678","2030","548419","548419","0","0","金門縣","0","89822","0","89822","0","58000","30000","28000"
"連江縣","1982457","470018","64562","連江縣","245866","129296","30294","588188","504449","0","83739","連江縣","426950","110170","14770","245325","56685","235034","1750","連江縣","12335","95709","0","125240","56663","18547","38116","連江縣","38343","38343","0","148481","148481","1000","1000","連江縣","0","0","0","0","0","17780","5000","12780"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","197513760","13494653","300998","總  計","1533560","11193671","466424","36193159","21396103","0","14797056","總  計","113999936","22181386","12837702","68210520","10770328","2551714","0","總  計","3201","1255349","29993","1263171","17801124","3913538","13887586","總  計","0","0","0","4170286","4170286","0","0","總  計","0","32000","32000","0","0","9270888","975834","8295054"
"","136527069","9709383","104342","","720991","8533226","350824","25836035","14079001","0","11757034","","76373625","16009733","10089260","48223451","2051181","1844733","0","","2613","954727","27763","859630","13856327","2469304","11387023","","0","0","0","3007854","3007854","0","0","","0","0","0","0","0","5899112","745834","5153278"
"","22011054","1416018","47094","","144850","1171754","52320","7295645","3962856","0","3332789","","8457687","2711035","399461","5256918","90273","376200","0","","0","320103","21779","34318","3257414","1246400","2011014","","0","0","0","470590","470590","0","0","","0","0","0","0","0","737500","237500","500000"
"","39925982","3492935","9480","","86974","3311513","84968","6730842","3770225","0","2960617","","23406353","3449044","9506195","10258939","192175","1087338","0","","0","500174","748","586416","3146399","95622","3050777","","0","0","0","662115","662115","0","0","","0","0","0","0","0","1400000","0","1400000"
"臺中市","23965882","1207573","10000","臺中市","86151","1067414","44008","2122284","1261385","0","860899","臺中市","15769252","1659530","84479","13277791","747452","80125","0","臺中市","0","62913","885","16327","2818301","816287","2002014","臺中市","0","0","0","768347","768347","0","0","臺中市","0","0","0","0","0","1200000","175000","1025000"
"臺南市","15819800","859660","4251","臺南市","52842","795485","7082","2900159","1048703","0","1851456","臺南市","10789436","4139038","44200","6252475","353723","40515","0","臺南市","0","26097","2936","11482","148986","78762","70224","臺南市","0","0","0","371044","371044","0","0","臺南市","0","0","0","0","0","710000","0","710000"
"","18763441","1983681","17167","","264064","1561346","141104","2521925","1131789","0","1390136","","8656673","1604399","0","6722961","329313","188107","0","","2613","26616","1415","157463","4247663","103548","4144115","","0","0","0","247058","247058","0","0","","0","0","0","0","0","918334","333334","585000"
"桃園縣","16040910","749516","16350","桃園縣","86110","625714","21342","4265180","2904043","0","1361137","桃園縣","9294224","2446687","54925","6454367","338245","72448","0","桃園縣","0","18824","0","53624","237564","128685","108879","桃園縣","0","0","0","488700","488700","0","0","桃園縣","0","0","0","0","0","933278","0","933278"
"","60986691","3785270","196656","","812569","2660445","115600","10357124","7317102","0","3040022","","37626311","6171653","2748442","19987069","8719147","706981","0","","588","300622","2230","403541","3944797","1444234","2500563","","0","0","0","1162432","1162432","0","0","","0","32000","32000","0","0","3371776","230000","3141776"
"宜蘭縣","4256715","387237","1100","宜蘭縣","28778","355831","1528","1861558","363902","0","1497656","宜蘭縣","1096262","236341","59873","569103","230945","34177","0","宜蘭縣","0","27175","1700","5302","636873","629107","7766","宜蘭縣","0","0","0","39899","39899","0","0","宜蘭縣","0","0","0","0","0","200709","0","200709"
"新竹縣","6909577","130470","5366","新竹縣","36184","81670","7250","1074884","993335","0","81549","新竹縣","4849864","121354","0","3491141","1237369","19509","0","新竹縣","0","7066","0","12443","384219","0","384219","新竹縣","0","0","0","193631","193631","0","0","新竹縣","0","0","0","0","0","257000","0","257000"
"苗栗縣","5729709","408834","12150","苗栗縣","20335","369458","6891","1038926","924766","0","114160","苗栗縣","2787466","648087","0","1887890","251489","128385","0","苗栗縣","0","11000","160","117225","990984","403003","587981","苗栗縣","0","0","0","123508","123508","0","0","苗栗縣","0","0","0","0","0","251606","0","251606"
"彰化縣","8678357","246967","13430","彰化縣","35493","186864","11180","1656927","1517094","0","139833","彰化縣","6002382","1009058","0","4186085","807239","41349","0","彰化縣","0","11990","0","29359","34592","18845","15747","彰化縣","0","0","0","271140","271140","0","0","彰化縣","0","0","0","0","0","425000","0","425000"
"南投縣","2609575","152634","22500","南投縣","49639","77995","2500","95434","58363","0","37071","南投縣","2014204","109953","864686","1039565","0","9199","0","南投縣","0","0","0","9199","60581","41985","18596","南投縣","0","0","0","70523","70523","0","0","南投縣","0","0","0","0","0","207000","0","207000"
"雲林縣","5568570","104762","2680","雲林縣","4590","90837","6655","536898","300539","0","236359","雲林縣","4446292","1029791","385","1605441","1810675","16720","0","雲林縣","0","0","0","16720","36622","10000","26622","雲林縣","0","0","0","63996","63996","0","0","雲林縣","0","0","0","0","0","363280","80000","283280"
"嘉義縣","3131693","146095","4190","嘉義縣","74547","59916","7442","353464","305634","0","47830","嘉義縣","2177937","653129","14786","1165417","344605","33474","0","嘉義縣","0","10481","0","22993","73261","0","73261","嘉義縣","0","0","0","47462","47462","0","0","嘉義縣","0","0","0","0","0","300000","80000","220000"
"屏東縣","4069405","300388","13850","屏東縣","11971","269910","4657","1040683","618631","0","422052","屏東縣","2278778","1168132","130555","808597","171494","28002","0","屏東縣","0","3990","170","23842","47150","0","47150","屏東縣","0","0","0","69177","69177","0","0","屏東縣","0","0","0","0","0","305227","0","305227"
"臺東縣","2307347","644424","11000","臺東縣","310354","305970","17100","228587","202443","0","26144","臺東縣","1133642","220718","0","478496","434428","47881","0","臺東縣","0","288","0","47593","14855","0","14855","臺東縣","0","0","0","31658","31658","0","0","臺東縣","0","0","0","0","0","206300","60000","146300"
"花蓮縣","3225351","170810","44534","花蓮縣","9554","113022","3700","356123","326501","0","29622","花蓮縣","2348529","294546","1500","775488","1276995","90999","0","花蓮縣","588","66837","0","23574","52560","1500","51060","花蓮縣","0","0","0","46330","46330","0","0","花蓮縣","0","0","0","0","0","160000","0","160000"
"澎湖縣","2064334","49176","5820","澎湖縣","15246","25781","2329","188381","91529","0","96852","澎湖縣","1507226","154731","1075103","277392","0","23492","0","澎湖縣","0","11821","0","11671","168736","0","168736","澎湖縣","0","0","0","36623","36623","0","0","澎湖縣","0","0","0","0","0","90700","0","90700"
"基隆市","2800500","353138","4580","基隆市","38250","302059","8249","448074","423396","0","24678","基隆市","1728851","43667","45769","1332442","306973","29498","0","基隆市","0","13728","0","15770","27291","1000","26291","基隆市","0","0","0","42648","42648","0","0","基隆市","0","0","0","0","0","171000","0","171000"
"新竹市","3137122","396020","15543","新竹市","80269","294923","5285","661700","569277","0","92423","新竹市","1296089","39873","483034","490325","282857","29325","0","新竹市","0","24361","200","4764","547538","2000","545538","新竹市","0","0","0","20450","20450","0","0","新竹市","0","0","0","0","0","186000","0","186000"
"嘉義市","1227657","110370","34666","嘉義市","18899","50805","6000","304027","258028","0","45999","嘉義市","667111","0","0","533098","134013","6870","0","嘉義市","0","3485","0","3385","24179","0","24179","嘉義市","0","0","0","27500","27500","0","0","嘉義市","0","0","0","0","0","87600","0","87600"
"金門縣","4038561","96603","3627","金門縣","37920","54312","744","345174","225315","0","119859","金門縣","2449283","362333","72751","1067874","946325","153856","0","金門縣","0","107220","0","46636","799645","300000","499645","金門縣","0","0","0","69846","69846","0","0","金門縣","0","0","0","0","0","124154","0","124154"
"連江縣","1232218","87342","1620","連江縣","40540","21092","24090","166284","138349","0","27935","連江縣","842395","79940","0","278715","483740","14245","0","連江縣","0","1180","0","13065","45711","36794","8917","連江縣","0","0","0","8041","8041","0","0","連江縣","0","32000","32000","0","0","36200","10000","26200"

